source,image_path,channel,image_peak_rank,peak_y_local,peak_height,prominence,roi_x,roi_y,roi_w,roi_h,possible_hint
na,data/raw/calibration/na/na_001_001_full.png,B,6,871.000,10.9344263,1.0065886,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_001_full.png,B,7,1006.000,11.1459797,0.835878427,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_001_full.png,B,8,1067.000,11.9590945,1.09654181,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_001_full.png,Gray,1,428.000,15.8965657,2.82050877,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_001_full.png,Gray,2,503.000,30.597202,6.84837892,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_001_full.png,Gray,3,555.000,14.5398156,1.30178735,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,R,1,506.000,53.7005468,11.8530213,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,1,25.000,10.4185792,0.71086656,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,2,84.000,10.0783764,0.666245188,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,3,108.000,9.96783761,0.555706433,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,4,250.000,9.56206076,0.557767228,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,5,393.000,9.60858699,0.535503619,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,6,428.000,11.7167837,2.62888354,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,7,501.000,22.3700235,5.73667428,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,G,8,556.000,10.0761907,1.39928195,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,B,1,2.000,14.3466042,1.51342719,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,B,2,62.000,12.09758,0.970413698,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,B,3,90.000,11.8535519,1.00142073,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,B,4,138.000,11.2424668,0.851959242,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,B,5,250.000,10.5311475,0.882825933,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,B,6,427.000,10.4523028,1.0075566,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,Gray,1,428.000,15.3605031,2.91823537,0,0,915,1080,589.3
na,data/raw/calibration/na/na_001_full.png,Gray,2,501.000,30.108826,6.52166119,0,0,915,1080,589.3
hene,data/raw/calibration/hene/hene_001_full.png,R,1,537.000,22.2074942,1.54082742,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,R,2,816.000,21.9548787,1.62543278,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,R,3,836.000,23.0084308,1.34159213,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,1,147.000,10.196097,0.568914918,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,2,819.000,12.2266978,1.55241202,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,3,833.000,12.9364559,0.908946092,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,4,841.000,12.9347384,0.942622893,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,5,849.000,12.7731459,1.33773597,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,6,860.000,11.8889931,1.03700233,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,7,871.000,11.1889148,1.2672287,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,G,8,913.000,9.75331742,0.649742113,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,B,1,244.000,12.9377048,1.11564388,0,0,915,1080,632.8
