source,standard_file,standard_peak_rank,standard_peak_wavelength_nm,standard_peak_prominence,standard_possible_hint,candidate_rank_for_standard,candidate_image_path,candidate_channel,candidate_y_local,candidate_peak_height,candidate_peak_prominence,candidate_image_rank,match_score,channel_compatibility,selection_status,selection_note
hg,data/raw/reference_spectrometer/hg/hg.txt,11,576.800000,280.728571,near 577.0 nm possible_hint_only,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.602913,0.250,,
hg,data/raw/reference_spectrometer/hg/hg.txt,11,576.800000,280.728571,near 577.0 nm possible_hint_only,2,data/raw/calibration/hg/hg_001_001_full.png,R,1033.000,21.6607336,1.29559683,1,0.577324,0.900,,
hg,data/raw/reference_spectrometer/hg/hg.txt,11,576.800000,280.728571,near 577.0 nm possible_hint_only,3,data/raw/calibration/hg/hg_001_001_full.png,G,428.000,13.2287276,1.56419998,4,0.538324,0.850,,
hg,data/raw/reference_spectrometer/hg/hg.txt,12,578.800000,278.1,near 577.0 nm possible_hint_only,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.601285,0.250,,
hg,data/raw/reference_spectrometer/hg/hg.txt,12,578.800000,278.1,near 577.0 nm possible_hint_only,2,data/raw/calibration/hg/hg_001_001_full.png,R,1033.000,21.6607336,1.29559683,1,0.575695,0.900,,
hg,data/raw/reference_spectrometer/hg/hg.txt,12,578.800000,278.1,near 577.0 nm possible_hint_only,3,data/raw/calibration/hg/hg_001_001_full.png,G,428.000,13.2287276,1.56419998,4,0.536695,0.850,,
na,data/raw/reference_spectrometer/na/na.txt,1,568.200000,0.414285714,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.529113,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,1,568.200000,0.414285714,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.514395,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,1,568.200000,0.414285714,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.338779,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,2,568.700000,0.942857143,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.530533,0.900,,
